Source,Target,Type,Id,Label,Weight
53e9987db7602d97020b7210,53e9bb2fb7602d970476a433,Directed,12834,,1
53e9987db7602d97020b7f18,53e9ab69b7602d9703507970,Directed,12865,,1
53e9987db7602d97020b7f18,53e9b365b7602d9703e42576,Directed,12867,,1
53e9987db7602d97020b7f18,53e9b587b7602d97040cb8a5,Directed,12868,,1
53e9987eb7602d97020bac2f,53e9acb5b7602d9703692339,Directed,13050,,1
53e99884b7602d97020bba79,53e9a472b7602d9702d8cd03,Directed,13195,,1
53e99884b7602d97020bba79,53e9ba8fb7602d97046b4367,Directed,13215,,1
53e99884b7602d97020bc401,53e99fe9b7602d97028c9023,Directed,13226,,1
53e99885b7602d97020bd1cf,53e99bb1b7602d97024569ee,Directed,13302,,1
53e99885b7602d97020bd1cf,56d8b497dabfae2eeefdbfd7,Directed,13316,,1
53e99885b7602d97020bed8e,53e99f94b7602d9702867465,Directed,13438,,1
53e99885b7602d97020bed8e,53e9a51db7602d9702e3da7d,Directed,13439,,1
53e99885b7602d97020bed8e,53e9b8aeb7602d970448cad5,Directed,13442,,1
53e99885b7602d97020bed8e,53e9bb9ab7602d97047e036b,Directed,13443,,1
53e99885b7602d97020bed8e,53e9b83fb7602d97044002ea,Directed,13444,,1
53e99885b7602d97020bed8e,53e99c6eb7602d970251e3ba,Directed,13445,,1
53e99885b7602d97020bed8e,53e9ba2db7602d970463945e,Directed,13446,,1
53e99885b7602d97020bf64e,53e99d1bb7602d97025cf1a7,Directed,13480,,1
53e9988bb7602d97020c2e15,53e9b70eb7602d97042a3083,Directed,13785,,1
53e9988bb7602d97020c44cb,53e9b594b7602d97040dc467,Directed,13908,,1
53e9988cb7602d97020c4cb2,53e9b607b7602d970415f4b4,Directed,13957,,1
53e9988cb7602d97020c4cb2,53e9bd59b7602d97049eec85,Directed,13959,,1
53e9988cb7602d97020c6444,53e9a9d3b7602d970333407b,Directed,14052,,1
53e9988cb7602d97020c6a56,53e9b2c6b7602d9703d7163a,Directed,14089,,1
53e9988cb7602d97020c7564,53e9aabdb7602d970343c385,Directed,14157,,1
53e9988cb7602d97020c77f3,53e9986eb7602d97020a9f42,Directed,14166,,1
53e9988cb7602d97020c77f3,53e99915b7602d970214fe05,Directed,14168,,1
53e9988cb7602d97020c77f3,53e9b879b7602d970444b11c,Directed,14177,,1
53e9988cb7602d97020c8417,53e9a51db7602d9702e3da7d,Directed,14203,,1
53e9988cb7602d97020c8417,53e9ad1fb7602d9703702ef4,Directed,14204,,1
53e9988cb7602d97020c8417,53e9b5e6b7602d97041363e8,Directed,14205,,1
53e9988cb7602d97020c8417,53e9b8aeb7602d970448cad5,Directed,14206,,1
53e9988cb7602d97020c8417,53e9bbf5b7602d970484cec2,Directed,14209,,1
53e9988cb7602d97020c8417,56d87414dabfae2eee0afffd,Directed,14211,,1
53e9988cb7602d97020c8b22,53e99fbcb7602d97028968cd,Directed,14213,,1
53e9988cb7602d97020c8b22,53e9ace8b7602d97036c49f0,Directed,14218,,1
53e99893b7602d97020cb4dc,53e99c12b7602d97024bda10,Directed,14572,,1
53e99893b7602d97020cb4dc,53e9a6b5b7602d9702fe9370,Directed,14575,,1
53e99893b7602d97020cb4dc,53e9ad8db7602d970378876b,Directed,14577,,1
53e99893b7602d97020cb4dc,53e9ae05b7602d97038126c8,Directed,14578,,1
53e99893b7602d97020cba5b,53e9b17ab7602d9703c065c0,Directed,14633,,1
53e99893b7602d97020cba5b,53e9b87fb7602d970444cf16,Directed,14637,,1
53e9989bb7602d97020d0ede,53e99c1ab7602d97024ca6e8,Directed,14948,,1
53e9989bb7602d97020d11b0,53e9a7e3b7602d9703121ef4,Directed,14965,,1
53e9989bb7602d97020d5670,53e9b189b7602d9703c11d99,Directed,15250,,1
53e9989bb7602d97020d5670,53e9b74ab7602d97042e8a8d,Directed,15252,,1
53e998a2b7602d97020d9c18,53e9ab32b7602d97034bce4b,Directed,15549,,1
53e998a2b7602d97020d9c18,53e9ac05b7602d97035c386c,Directed,15551,,1
53e998a2b7602d97020d9c18,53e9adf0b7602d97037fc206,Directed,15552,,1
53e998a2b7602d97020d9c18,53e997e4b7602d9701fdce13,Directed,15562,,1
53e998a2b7602d97020d9e9e,53e9a02db7602d9702910e66,Directed,15564,,1
53e998a2b7602d97020d9e9e,53e9a5f6b7602d9702f2135f,Directed,15565,,1
53e998a2b7602d97020d9e9e,53e9aeebb7602d9703919a5a,Directed,15567,,1
53e998a2b7602d97020d9e9e,53e9b4abb7602d9703fb884b,Directed,15570,,1
53e998a2b7602d97020d9e9e,53e9b7bbb7602d970436479c,Directed,15573,,1
53e998a3b7602d97020dd987,53e998b0b7602d97020ebfc2,Directed,15754,,1
53e998a3b7602d97020dd987,53e998fdb7602d970213bf1f,Directed,15755,,1
53e998a3b7602d97020dd987,53e999c3b7602d970220a514,Directed,15756,,1
53e998a3b7602d97020dd987,53e99ea6b7602d970276de5e,Directed,15758,,1
53e998a3b7602d97020dd987,53e9b2f5b7602d9703db43f7,Directed,15760,,1
53e998a3b7602d97020dd987,53e9a6bbb7602d9702fee7f6,Directed,15762,,1
53e998a3b7602d97020dd987,53e9b048b7602d9703aa77ab,Directed,15764,,1
53e998a3b7602d97020dd987,53e9b19cb7602d9703c269e9,Directed,15765,,1
53e998a3b7602d97020dd987,53e9aeb1b7602d97038d4755,Directed,15766,,1
53e998a3b7602d97020dd987,53e9b403b7602d9703ef824d,Directed,15768,,1
53e998a3b7602d97020dd987,53e9bccbb7602d970494e49c,Directed,15770,,1
53e998a3b7602d97020de6f6,53e9ba59b7602d9704671560,Directed,15807,,1
53e998a3b7602d97020de936,53e9990db7602d9702149931,Directed,15818,,1
53e998a3b7602d97020de936,53e9a8dbb7602d970322d86a,Directed,15827,,1
53e998a3b7602d97020de936,53e9ab69b7602d9703507ebe,Directed,15829,,1
53e998a3b7602d97020de936,53e9afe9b7602d9703a40484,Directed,15832,,1
53e998a3b7602d97020de936,53e9b879b7602d97044457f4,Directed,15835,,1
53e998a3b7602d97020de936,53e9bcd9b7602d970495fae4,Directed,15838,,1
